,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,per_unit,call_put,exercise_price,maturity_date,s_month,equities_close,maturity_time,iv,value,vega
31,10001423.SH,20190102,SSE,0.0148,0.0148,0.015,0.016,0.0102,0.0115,0.0115,0.193,219984.71,7162.0,10202.0,1,2.647,20190327,201903,2.255,0.23013698630136986,0.24318790814333452,-0.05464716914857792,0.26278964227236806
32,10001535.SH,20190102,SSE,0.0408,0.0408,0.0379,0.0525,0.0332,0.0501,0.0501,1.9055,9033702.67,8879.0,10202.0,-1,2.254,20190123,201901,2.255,0.057534246575342465,0.23774643438010523,0.020423126863767793,0.2784370547837463
33,10001607.SH,20190102,SSE,0.1294,0.1294,0.1247,0.1432,0.1234,0.139,0.1391,0.1222,1663737.0,4013.0,10000.0,-1,2.3,20190626,201906,2.255,0.4794520547945205,0.1944023244977221,0.08013524840628627,0.7601853671615344
34,10001661.SH,20190102,SSE,0.1104,0.11,0.1069,0.13,0.1015,0.1245,0.1245,0.2926,3525595.0,1655.0,10000.0,-1,2.35,20190227,201902,2.255,0.15342465753424658,0.1938387335652263,0.08570110485664495,0.4054472505195429
35,10001608.SH,20190102,SSE,0.1531,0.1531,0.1517,0.1708,0.1517,0.1651,0.1659,0.1461,2411687.0,3132.0,10000.0,-1,2.35,20190626,201906,2.255,0.4794520547945205,0.1882859897917764,0.11048970650371759,0.6680420509065157
36,10001522.SH,20190102,SSE,0.0879,0.0879,0.0857,0.0986,0.0845,0.0939,0.0956,0.0483,464622.54,4035.0,10202.0,-1,2.205,20190626,201906,2.255,0.4794520547945205,0.19908833324829134,0.03484815551920595,0.9403320474084252
37,10001536.SH,20190102,SSE,0.0643,0.0643,0.055,0.0822,0.055,0.0775,0.0775,1.0164,7546175.57,8555.0,10202.0,-1,2.303,20190123,201901,2.255,0.057534246575342465,0.23320380277117014,0.045599008331119295,0.2673076689990411
38,10001610.SH,20190102,SSE,0.2118,0.2122,0.2097,0.2329,0.2097,0.2274,0.2274,0.0298,673908.0,667.0,10000.0,-1,2.45,20190626,201906,2.255,0.4794520547945205,0.17639452993063753,0.18321008262750982,0.4981352732608671
39,10001591.SH,20190102,SSE,0.1545,0.1542,0.1468,0.1769,0.1467,0.1715,0.1723,0.1271,2119641.0,3333.0,10000.0,-1,2.4,20190327,201903,2.255,0.23013698630136986,0.1899511379499481,0.12637573647445488,0.4437596599047662
40,10001649.SH,20190102,SSE,0.1389,0.1386,0.14300000000000002,0.1438,0.1092,0.1136,0.1136,0.1898,2238179.0,647.0,10000.0,1,2.2,20190227,201902,2.255,0.15342465753424658,0.23376753424915814,0.06669768548928512,0.49620071900871937
41,10001618.SH,20190102,SSE,0.414,0.4108,0.36,0.4467,0.36,0.4384,0.445,0.1534,6670655.0,3671.0,10000.0,-1,2.7,20190123,201901,2.255,0.057534246575342465,7.888609052210118e-31,0.31357262345037795,0.18717308417975376
42,10001521.SH,20190102,SSE,0.2175,0.2175,0.2349,0.2349,0.19,0.1938,0.1938,0.0185,369150.19,1772.0,10202.0,1,2.205,20190626,201906,2.255,0.4794520547945205,0.2650812359812984,0.09510517295055076,0.9403320474084252
43,10001651.SH,20190102,SSE,0.0811,0.0811,0.0835,0.0848,0.0582,0.0615,0.0615,0.6714,4446534.0,5006.0,10000.0,1,2.3,20190227,201902,2.255,0.15342465753424658,0.2268428765035867,0.015404809940811282,0.4350673125519145
44,10001566.SH,20190102,SSE,0.0065,0.0065,0.0064,0.0068,0.0032,0.0033,0.0033,3.6361,1457596.0,107231.0,10000.0,1,2.5,20190123,201901,2.255,0.057534246575342465,0.2634867885617158,-0.07802604860184859,0.22516261074304064
45,10001567.SH,20190102,SSE,0.0032,0.0032,0.0031,0.0038,0.0015,0.0016,0.0016,1.7488,346196.0,51294.0,10000.0,1,2.55,20190123,201901,2.255,0.057534246575342465,0.2656623592470031,-0.09322048010716255,0.21519345640107593
46,10001633.SH,20190102,SSE,0.1505,0.1505,0.1566,0.1628,0.1167,0.12300000000000001,0.12300000000000001,1.1507,14768087.0,8825.0,10000.0,1,2.15,20190123,201901,2.255,0.057534246575342465,0.25718020630556215,0.07978618715291108,0.3027671162400323
47,10001658.SH,20190102,SSE,0.0415,0.0415,0.0391,0.0491,0.0355,0.0455,0.0455,0.3923,1717105.0,3243.0,10000.0,-1,2.2,20190227,201902,2.255,0.15342465753424658,0.2041107085424786,0.008414420535244216,0.49620071900871937
48,10001614.SH,20190102,SSE,0.364,0.3562,0.3515,0.3835,0.3515,0.3798,0.395,0.0124,464420.0,741.0,10000.0,-1,2.65,20190626,201906,2.255,0.4794520547945205,7.888609052210118e-31,0.3632384239306701,0.24255788630650046
49,10001562.SH,20190102,SSE,0.0515,0.0515,0.0546,0.0561,0.0329,0.0351,0.0351,15.7109,60817690.0,116347.0,10000.0,1,2.3,20190123,201901,2.255,0.057534246575342465,0.24872372399270537,0.00034998684529430335,0.2679822849792136
50,10001428.SH,20190102,SSE,0.1885,0.1887,0.1817,0.2145,0.1817,0.2077,0.2061,0.0552,1168527.9,2894.0,10202.0,-1,2.45,20190327,201903,2.255,0.23013698630136986,0.17893828199626322,0.16250209566285378,0.40268662632481883
51,10001634.SH,20190102,SSE,0.0121,0.0121,0.0106,0.0152,0.0087,0.0132,0.0132,5.1034,6487026.0,98108.0,10000.0,-1,2.15,20190123,201901,2.255,0.057534246575342465,0.2330415411857477,-0.026389338506157545,0.3027671162400323
52,10001597.SH,20190102,SSE,0.1917,0.1912,0.196,0.196,0.1652,0.1694,0.1687,0.0423,722005.0,2141.0,10000.0,1,2.25,20190626,201906,2.255,0.4794520547945205,0.2616785070549915,0.06991579429604422,0.8548059423820991
53,10001596.SH,20190102,SSE,0.364,0.3446,0.349,0.3856,0.349,0.3762,0.395,0.0556,2083714.0,880.0,10000.0,-1,2.65,20190327,201903,2.255,0.23013698630136986,7.888609052210118e-31,0.3331916541662021,0.26095365840764334
54,10001585.SH,20190102,SSE,0.0278,0.0278,0.0279,0.0291,0.0196,0.0214,0.0214,0.3667,788703.0,6732.0,10000.0,1,2.55,20190327,201903,2.255,0.23013698630136986,0.24193473602855525,-0.045258197802011124,0.32700928191670603
55,10001436.SH,20190102,SSE,0.098,0.0979,0.0953,0.1144,0.092,0.1098,0.1105,0.1149,1235189.81,2395.0,10202.0,-1,2.303,20190327,201903,2.255,0.23013698630136986,0.1998683423385248,0.06560540481941501,0.5283409952730432
56,10001507.SH,20190102,SSE,0.0572,0.0564,0.0593,0.0593,0.0456,0.0469,0.0467,0.0381,194824.53,1951.0,10202.0,1,2.5980000000000003,20190626,201906,2.255,0.4794520547945205,0.2419463113630651,-0.015697655723697412,0.2972384842581082
57,10001590.SH,20190102,SSE,0.1233,0.1233,0.12,0.1436,0.1168,0.1381,0.1394,0.17800000000000002,2380728.0,4460.0,10000.0,-1,2.35,20190327,201903,2.255,0.23013698630136986,0.1962215647458027,0.09344123566180174,0.48665616895447317
58,10001643.SH,20190102,SSE,0.2345,0.2345,0.24,0.24,0.2012,0.2073,0.2073,0.1152,2429797.0,1256.0,10000.0,1,2.1,20190327,201903,2.255,0.23013698630136986,0.26421640347380526,0.1423880636302961,0.7144204519632633
59,10001441.SH,20190102,SSE,0.1932,0.1932,0.1981,0.2001,0.1624,0.1684,0.1684,0.1112,1941967.02,7139.0,10202.0,1,2.156,20190327,201903,2.255,0.23013698630136986,0.2587759725963523,0.10325530863721122,0.6632096919687032
60,10001627.SH,20190102,SSE,0.162,0.1623,0.1648,0.1665,0.1349,0.1402,0.1396,0.0812,1155654.0,2217.0,10000.0,1,2.2,20190327,201903,2.255,0.23013698630136986,0.2534319544919018,0.07581457221133037,0.6225745573277561
61,10001650.SH,20190102,SSE,0.1063,0.1063,0.1098,0.1118,0.0811,0.085,0.085,0.3685,3285898.0,1765.0,10000.0,1,2.25,20190227,201902,2.255,0.15342465753424658,0.22991101463382324,0.0394542788325396,0.4653848917145237
62,10001515.SH,20190102,SSE,0.2739,0.2739,0.26899999999999996,0.3035,0.26899999999999996,0.2974,0.2987,0.0395,1176126.35,1164.0,10202.0,-1,2.549,20190626,201906,2.255,0.4794520547945205,0.15311943944057915,0.2679241986421035,0.3563519020734882
63,10001573.SH,20190102,SSE,0.13,0.13,0.128,0.1582,0.1194,0.1515,0.1515,2.0794,30517140.0,41227.0,10000.0,-1,2.4,20190123,201901,2.255,0.057534246575342465,0.22569613066591937,0.10101299857050994,0.2460064275616362
